#Format:deltacp   chi^2 
-180 1.34746e-06 
-176.4 0.37702 
-172.8 0.748716 
-169.2 1.11426 
-165.6 1.47287 
-162 1.82379 
-158.4 2.16633 
-154.8 2.49982 
-151.2 2.82367 
-147.6 3.13734 
-144 3.44034 
-140.4 3.73226 
-136.8 4.01273 
-133.2 4.28149 
-129.6 4.53833 
-126 4.78311 
-122.4 5.01579 
-118.8 5.2364 
-115.2 5.44504 
-111.6 5.64191 
-108 5.8273 
-104.4 6.00156 
-100.8 6.16514 
-97.2 6.31856 
-93.6 6.46241 
-90 6.59737 
-86.4 6.72416 
-82.8 6.84357 
-79.2 6.95644 
-75.6 7.06364 
-72 7.16607 
-68.4 7.12939 
-64.8 6.82364 
-61.2 6.50533 
-57.6 6.17515 
-54 5.83382 
-50.4 5.48214 
-46.8 5.12093 
-43.2 4.75107 
-39.6 4.3735 
-36 3.98916 
-32.4 3.59905 
-28.8 3.20418 
-25.2 2.80561 
-21.6 2.40436 
-18 2.00152 
-14.4 1.59813 
-10.8 1.19525 
-7.2 0.793925 
-3.6 0.395177 
-1.64313e-13 1.0419e-06 
3.6 0.390646 
7.2 0.775841 
10.8 1.15471 
14.4 1.52644 
18 1.89027 
21.6 2.2455 
25.2 2.5915 
28.8 2.92771 
32.4 3.25366 
36 3.56894 
39.6 3.87321 
43.2 4.16623 
46.8 4.44783 
50.4 4.7179 
54 4.97644 
57.6 5.22349 
61.2 5.45918 
64.8 5.6837 
68.4 5.89732 
72 6.10035 
75.6 6.29317 
79.2 6.47619 
82.8 6.64991 
86.4 6.81483 
90 6.97151 
93.6 7.12051 
97.2 7.26245 
100.8 7.39793 
104.4 7.52149 
108 7.24335 
111.6 6.95215 
115.2 6.64854 
118.8 6.33321 
122.4 6.00689 
126 5.67036 
129.6 5.32442 
133.2 4.96991 
136.8 4.6077 
140.4 4.23869 
144 3.8638 
147.6 3.48394 
151.2 3.10008 
154.8 2.71317 
158.4 2.32417 
162 1.93405 
165.6 1.54378 
169.2 1.15429 
172.8 0.766555 
176.4 0.381487 
180 1.13445e-06 
