#Format:deltacp   chi^2 
-180 2.70213e-07 
-176.4 0.202405 
-172.8 0.399487 
-169.2 0.5906 
-165.6 0.775136 
-162 0.952519 
-158.4 1.12221 
-154.8 1.28372 
-151.2 1.43657 
-147.6 1.58036 
-144 1.7147 
-140.4 1.83925 
-136.8 1.95372 
-133.2 2.05785 
-129.6 2.15143 
-126 2.23429 
-122.4 2.30632 
-118.8 2.36744 
-115.2 2.41762 
-111.6 2.45689 
-108 2.48532 
-104.4 2.50305 
-100.8 2.51025 
-97.2 2.50717 
-93.6 2.49414 
-90 2.47155 
-86.4 2.43986 
-82.8 2.39965 
-79.2 2.35158 
-75.6 2.29646 
-72 2.23522 
-68.4 2.16899 
-64.8 2.09907 
-61.2 2.02703 
-57.6 1.95467 
-54 1.88414 
-50.4 1.81789 
-46.8 1.75868 
-43.2 1.70952 
-39.6 1.67349 
-36 1.65356 
-32.4 1.65219 
-28.8 1.67112 
-25.2 1.50535 
-21.6 1.29501 
-18 1.08188 
-14.4 0.866671 
-10.8 0.650115 
-7.2 0.432968 
-3.6 0.216001 
-1.64313e-13 4.4826e-07 
3.6 0.214235 
7.2 0.425892 
10.8 0.634153 
14.4 0.83819 
18 1.03718 
21.6 1.23029 
25.2 1.41671 
28.8 1.59563 
32.4 1.76625 
36 1.92781 
39.6 2.07956 
43.2 2.22079 
46.8 2.35085 
50.4 2.46911 
54 2.57502 
57.6 2.66808 
61.2 2.74787 
64.8 2.81405 
68.4 2.86636 
72 2.90466 
75.6 2.92889 
79.2 2.9391 
82.8 2.93547 
86.4 2.91829 
90 2.88801 
93.6 2.84517 
97.2 2.79051 
100.8 2.72488 
104.4 2.64935 
108 2.56516 
111.6 2.47376 
115.2 2.37685 
118.8 2.27642 
122.4 2.1748 
126 2.07465 
129.6 1.97907 
133.2 1.89152 
136.8 1.81581 
140.4 1.75585 
144 1.71539 
147.6 1.69751 
151.2 1.7042 
154.8 1.50511 
158.4 1.28609 
162 1.06705 
165.6 0.848817 
169.2 0.632213 
172.8 0.418035 
176.4 0.20705 
180 4.35002e-07 
