#Format:deltacp   chi^2 
-180 9.8621e-07 
-176.4 0.371174 
-172.8 0.736874 
-169.2 1.09617 
-165.6 1.44817 
-162 1.79202 
-158.4 2.12691 
-154.8 2.45208 
-151.2 2.76684 
-147.6 3.07053 
-144 3.36259 
-140.4 3.64248 
-136.8 3.90976 
-133.2 4.16406 
-129.6 4.40508 
-126 4.6326 
-122.4 4.8465 
-118.8 5.04672 
-115.2 5.2333 
-111.6 5.40637 
-108 5.56618 
-104.4 5.71302 
-100.8 5.84733 
-97.2 5.96961 
-93.6 6.08047 
-90 6.18061 
-86.4 6.27083 
-82.8 6.35199 
-79.2 6.42508 
-75.6 6.4911 
-72 6.55117 
-68.4 6.60641 
-64.8 6.51954 
-61.2 6.22851 
-57.6 5.92441 
-54 5.60793 
-50.4 5.27986 
-46.8 4.94098 
-43.2 4.59218 
-39.6 4.23437 
-36 3.8685 
-32.4 3.49557 
-28.8 3.11662 
-25.2 2.73272 
-21.6 2.34495 
-18 1.95442 
-14.4 1.56227 
-10.8 1.16961 
-7.2 0.7776 
-3.6 0.387356 
-1.64313e-13 9.50297e-07 
3.6 0.383365 
7.2 0.761665 
10.8 1.13385 
14.4 1.49893 
18 1.85594 
21.6 2.20397 
25.2 2.54217 
28.8 2.86978 
32.4 3.18608 
36 3.49044 
39.6 3.78232 
43.2 4.06124 
46.8 4.32683 
50.4 4.57881 
54 4.817 
57.6 5.04129 
61.2 5.25171 
64.8 5.44834 
68.4 5.6314 
72 5.80117 
75.6 5.95806 
79.2 6.10254 
82.8 6.23518 
86.4 6.35664 
90 6.46764 
93.6 6.56901 
97.2 6.6616 
100.8 6.74634 
104.4 6.82419 
108 6.89617 
111.6 6.73295 
115.2 6.45118 
118.8 6.15614 
122.4 5.84861 
126 5.52942 
129.6 5.19943 
133.2 4.85955 
136.8 4.51073 
140.4 4.15395 
144 3.79019 
147.6 3.4205 
151.2 3.04591 
154.8 2.66747 
158.4 2.28625 
162 1.90332 
165.6 1.51974 
169.2 1.13658 
172.8 0.754882 
176.4 0.375683 
180 1.2396e-06 
