#Format:deltacp   chi^2 
-180 1.30678e-06 
-176.4 0.148961 
-172.8 0.29372 
-169.2 0.435027 
-165.6 0.57368 
-162 0.710506 
-158.4 0.84635 
-154.8 0.982053 
-151.2 1.11844 
-147.6 1.25628 
-144 1.3963 
-140.4 1.53917 
-136.8 1.68544 
-133.2 1.83562 
-129.6 1.99009 
-126 2.14914 
-122.4 2.31295 
-118.8 2.48164 
-115.2 2.65519 
-111.6 2.83353 
-108 3.01649 
-104.4 3.20382 
-100.8 3.39524 
-97.2 3.59036 
-93.6 3.78878 
-90 3.99002 
-86.4 4.19357 
-82.8 4.3989 
-79.2 4.60544 
-75.6 4.8126 
-72 4.88626 
-68.4 4.63277 
-64.8 4.3765 
-61.2 4.1181 
-57.6 3.8582 
-54 3.59743 
-50.4 3.33646 
-46.8 3.07591 
-43.2 2.81642 
-39.6 2.55863 
-36 2.30317 
-32.4 2.05064 
-28.8 1.80166 
-25.2 1.55679 
-21.6 1.3166 
-18 1.08162 
-14.4 0.852319 
-10.8 0.629151 
-7.2 0.412503 
-3.6 0.202701 
-1.64313e-13 1.49646e-06 
3.6 0.195426 
7.2 0.383495 
10.8 0.564227 
14.4 0.737748 
18 0.904308 
21.6 1.06428 
25.2 1.21815 
28.8 1.36656 
32.4 1.51027 
36 1.65013 
39.6 1.78713 
43.2 1.92232 
46.8 2.05684 
50.4 2.19183 
54 2.32846 
57.6 2.46782 
61.2 2.61099 
64.8 2.75888 
68.4 2.91231 
72 3.0719 
75.6 3.23814 
79.2 3.4113 
82.8 3.59145 
86.4 3.77851 
90 3.97219 
93.6 4.17204 
97.2 4.37748 
100.8 4.5878 
104.4 4.51858 
108 4.26199 
111.6 4.00527 
115.2 3.74937 
118.8 3.49521 
122.4 3.24365 
126 2.99551 
129.6 2.75154 
133.2 2.51243 
136.8 2.27878 
140.4 2.05112 
144 1.82989 
147.6 1.61545 
151.2 1.40804 
154.8 1.20783 
158.4 1.01488 
162 0.829129 
165.6 0.650449 
169.2 0.478587 
172.8 0.313201 
176.4 0.153849 
180 1.24528e-06 
