#Format:deltacp   chi^2 
-180 1.0605e-06 
-176.4 0.375651 
-172.8 0.746018 
-169.2 1.11028 
-165.6 1.46765 
-162 1.81739 
-158.4 2.1588 
-154.8 2.49123 
-151.2 2.81408 
-147.6 3.1268 
-144 3.42892 
-140.4 3.72002 
-136.8 3.99973 
-133.2 4.26778 
-129.6 4.52395 
-126 4.76811 
-122.4 5.00019 
-118.8 5.22022 
-115.2 5.42828 
-111.6 5.62457 
-108 5.80934 
-104.4 5.98294 
-100.8 6.14578 
-97.2 6.29839 
-93.6 6.44132 
-90 6.57524 
-86.4 6.70085 
-82.8 6.81892 
-79.2 6.93028 
-75.6 7.03578 
-72 7.13632 
-68.4 7.08368 
-64.8 6.78186 
-61.2 6.46737 
-57.6 6.14087 
-54 5.80309 
-50.4 5.45479 
-46.8 5.09679 
-43.2 4.72996 
-39.6 4.35522 
-36 3.97352 
-32.4 3.58584 
-28.8 3.1932 
-25.2 2.79664 
-21.6 2.39721 
-18 1.99598 
-14.4 1.59402 
-10.8 1.19239 
-7.2 0.792154 
-3.6 0.394353 
-1.64313e-13 1.2478e-06 
3.6 0.38992 
7.2 0.774462 
10.8 1.15273 
14.4 1.52386 
18 1.88709 
21.6 2.24166 
25.2 2.58694 
28.8 2.92233 
32.4 3.24731 
36 3.56146 
39.6 3.86441 
43.2 4.1559 
46.8 4.43573 
50.4 4.70379 
54 4.96003 
57.6 5.20451 
61.2 5.43735 
64.8 5.65873 
68.4 5.86891 
72 6.06822 
75.6 6.25705 
79.2 6.43583 
82.8 6.60505 
86.4 6.76527 
90 6.91704 
93.6 7.06099 
97.2 7.19773 
100.8 7.32793 
104.4 7.45223 
108 7.21066 
111.6 6.92139 
115.2 6.61966 
118.8 6.30617 
122.4 5.98165 
126 5.64687 
129.6 5.30265 
133.2 4.94984 
136.8 4.5893 
140.4 4.22193 
144 3.84865 
147.6 3.4704 
151.2 3.08812 
154.8 2.70278 
158.4 2.31533 
162 1.92675 
165.6 1.53798 
169.2 1.14999 
172.8 0.763713 
176.4 0.380082 
180 1.18117e-06 
