#Format:deltacp   chi^2 
-180 1.29403e-06 
-176.4 0.373504 
-172.8 0.741812 
-169.2 1.10407 
-165.6 1.45946 
-162 1.8072 
-158.4 2.14655 
-154.8 2.47683 
-151.2 2.7974 
-147.6 3.10769 
-144 3.40716 
-140.4 3.69536 
-136.8 3.97189 
-133.2 4.23645 
-129.6 4.48877 
-126 4.72868 
-122.4 4.9561 
-118.8 5.17099 
-115.2 5.37345 
-111.6 5.5636 
-108 5.74171 
-104.4 5.90808 
-100.8 6.06312 
-97.2 6.20734 
-93.6 6.34129 
-90 6.46564 
-86.4 6.58111 
-82.8 6.68848 
-79.2 6.7886 
-75.6 6.88238 
-72 6.97076 
-68.4 6.97626 
-64.8 6.68303 
-61.2 6.37687 
-57.6 6.0584 
-54 5.72833 
-50.4 5.38742 
-46.8 5.03648 
-43.2 4.67637 
-39.6 4.308 
-36 3.93231 
-32.4 3.55029 
-28.8 3.16294 
-25.2 2.77132 
-21.6 2.37647 
-18 1.97948 
-14.4 1.58141 
-10.8 1.18337 
-7.2 0.786409 
-3.6 0.391606 
-1.64313e-13 1.1409e-06 
3.6 0.387394 
7.2 0.769594 
10.8 1.14566 
14.4 1.5147 
18 1.87586 
21.6 2.22839 
25.2 2.57154 
28.8 2.9047 
32.4 3.22727 
36 3.53876 
39.6 3.83877 
43.2 4.12695 
46.8 4.40305 
50.4 4.66691 
54 4.91844 
57.6 5.15765 
61.2 5.3846 
64.8 5.59947 
68.4 5.80248 
72 5.99395 
75.6 6.17425 
79.2 6.34383 
82.8 6.50319 
86.4 6.65291 
90 6.79358 
93.6 6.92587 
97.2 7.05046 
100.8 7.16807 
104.4 7.27943 
108 7.10993 
111.6 6.82929 
115.2 6.53579 
118.8 6.2301 
122.4 5.91297 
126 5.58517 
129.6 5.24751 
133.2 4.90085 
136.8 4.54606 
140.4 4.18405 
144 3.81575 
147.6 3.4421 
151.2 3.06408 
154.8 2.68267 
158.4 2.29883 
162 1.91357 
165.6 1.52786 
169.2 1.14269 
172.8 0.759021 
176.4 0.377813 
180 1.2496e-06 
