#Format:deltacp   chi^2 
-180 9.93746e-07 
-176.4 0.169677 
-172.8 0.33676 
-169.2 0.502131 
-165.6 0.666686 
-162 0.831313 
-158.4 0.996881 
-154.8 1.16422 
-151.2 1.33409 
-147.6 1.5072 
-144 1.68416 
-140.4 1.86549 
-136.8 2.05161 
-133.2 2.24286 
-129.6 2.43943 
-126 2.64144 
-122.4 2.84892 
-118.8 3.06177 
-115.2 3.27982 
-111.6 3.50282 
-108 3.73046 
-104.4 3.96231 
-100.8 4.19792 
-97.2 4.43678 
-93.6 4.67833 
-90 4.92197 
-86.4 5.16706 
-82.8 5.41297 
-79.2 5.65895 
-75.6 5.67052 
-72 5.3853 
-68.4 5.09735 
-64.8 4.80741 
-61.2 4.51615 
-57.6 4.22428 
-54 3.93249 
-50.4 3.64147 
-46.8 3.35192 
-43.2 3.06451 
-39.6 2.77991 
-36 2.49879 
-32.4 2.22177 
-28.8 1.94948 
-25.2 1.68248 
-21.6 1.42132 
-18 1.1665 
-14.4 0.918449 
-10.8 0.677531 
-7.2 0.444037 
-3.6 0.218163 
-1.64313e-13 1.17182e-06 
3.6 0.210474 
7.2 0.413407 
10.8 0.609085 
14.4 0.797936 
18 0.980537 
21.6 1.15761 
25.2 1.33003 
28.8 1.49878 
32.4 1.66499 
36 1.82986 
39.6 1.99466 
43.2 2.16068 
46.8 2.32919 
50.4 2.50143 
54 2.67852 
57.6 2.86147 
61.2 3.05109 
64.8 3.24803 
68.4 3.45273 
72 3.66541 
75.6 3.8861 
79.2 4.11459 
82.8 4.3505 
86.4 4.59325 
90 4.84214 
93.6 5.09629 
97.2 5.35472 
100.8 5.2375 
104.4 4.94744 
108 4.6581 
111.6 4.37049 
115.2 4.08555 
118.8 3.80421 
122.4 3.52726 
126 3.25546 
129.6 2.98946 
133.2 2.72981 
136.8 2.47698 
140.4 2.23133 
144 1.99312 
147.6 1.76249 
151.2 1.53949 
154.8 1.32406 
158.4 1.11601 
162 0.915065 
165.6 0.720835 
169.2 0.532835 
172.8 0.350484 
176.4 0.17312 
180 9.91674e-07 
