#Format:deltacp   chi^2 
-180 4.3683e-07 
-176.4 0.222964 
-172.8 0.442881 
-169.2 0.659155 
-165.6 0.871226 
-162 1.07857 
-158.4 1.2807 
-154.8 1.47716 
-151.2 1.66757 
-147.6 1.85154 
-144 2.02877 
-140.4 2.19898 
-136.8 2.36194 
-133.2 2.51747 
-129.6 2.66541 
-126 2.80567 
-122.4 2.93819 
-118.8 3.06296 
-115.2 3.17999 
-111.6 3.28936 
-108 3.39116 
-104.4 3.48555 
-100.8 3.57269 
-97.2 3.65283 
-93.6 3.7262 
-90 3.79311 
-86.4 3.85388 
-82.8 3.90888 
-79.2 3.95849 
-75.6 3.91952 
-72 3.79545 
-68.4 3.66322 
-64.8 3.52301 
-61.2 3.37503 
-57.6 3.2195 
-54 3.05669 
-50.4 2.88689 
-46.8 2.71042 
-43.2 2.52762 
-39.6 2.33887 
-36 2.14456 
-32.4 1.94512 
-28.8 1.74099 
-25.2 1.53264 
-21.6 1.32057 
-18 1.10529 
-14.4 0.887339 
-10.8 0.667258 
-7.2 0.44562 
-3.6 0.223003 
-1.64313e-13 4.41489e-07 
3.6 0.222789 
7.2 0.444758 
10.8 0.665299 
14.4 0.883804 
18 1.09967 
21.6 1.3123 
25.2 1.5211 
28.8 1.72551 
32.4 1.92497 
36 2.11894 
39.6 2.30691 
43.2 2.48838 
46.8 2.6629 
50.4 2.83004 
54 2.98938 
57.6 3.14058 
61.2 3.28329 
64.8 3.41724 
68.4 3.54218 
72 3.65794 
75.6 3.76439 
79.2 3.86147 
82.8 3.94916 
86.4 4.02756 
90 4.0968 
93.6 4.15713 
97.2 4.20883 
100.8 4.25231 
104.4 4.19906 
108 4.06353 
111.6 3.91851 
115.2 3.76428 
118.8 3.60118 
122.4 3.42961 
126 3.25002 
129.6 3.06288 
133.2 2.86874 
136.8 2.66816 
140.4 2.46175 
144 2.25013 
147.6 2.03398 
151.2 1.81397 
154.8 1.5908 
158.4 1.36518 
162 1.13783 
165.6 0.909468 
169.2 0.680805 
172.8 0.452547 
176.4 0.225388 
180 3.75618e-07 
