#Format:deltacp   chi^2 
-180 4.32104e-07 
-176.4 0.206844 
-172.8 0.409421 
-169.2 0.607056 
-165.6 0.79911 
-162 0.984977 
-158.4 1.16409 
-154.8 1.33591 
-151.2 1.49996 
-147.6 1.65577 
-144 1.80294 
-140.4 1.94108 
-136.8 2.06988 
-133.2 2.18904 
-129.6 2.29832 
-126 2.3975 
-122.4 2.48644 
-118.8 2.56501 
-115.2 2.63314 
-111.6 2.6908 
-108 2.73801 
-104.4 2.77483 
-100.8 2.80138 
-97.2 2.81783 
-93.6 2.82438 
-90 2.82132 
-86.4 2.80898 
-82.8 2.78776 
-79.2 2.75813 
-75.6 2.72064 
-72 2.67593 
-68.4 2.62474 
-64.8 2.56793 
-61.2 2.50647 
-57.6 2.44149 
-54 2.37427 
-50.4 2.30627 
-46.8 2.23917 
-43.2 2.17481 
-39.6 2.11522 
-36 2.03426 
-32.4 1.84845 
-28.8 1.65709 
-25.2 1.46076 
-21.6 1.26004 
-18 1.05555 
-14.4 0.847951 
-10.8 0.637894 
-7.2 0.426073 
-3.6 0.213198 
-1.64313e-13 3.95822e-07 
3.6 0.212773 
7.2 0.424356 
10.8 0.633967 
14.4 0.840815 
18 1.0441 
21.6 1.243 
25.2 1.43672 
28.8 1.62444 
32.4 1.80535 
36 1.97867 
39.6 2.1436 
43.2 2.29941 
46.8 2.44535 
50.4 2.58075 
54 2.70495 
57.6 2.81738 
61.2 2.91748 
64.8 3.00481 
68.4 3.07897 
72 3.13967 
75.6 3.1867 
79.2 3.21995 
82.8 3.23943 
86.4 3.24524 
90 3.23761 
93.6 3.2169 
97.2 3.18359 
100.8 3.13829 
104.4 3.08174 
108 3.01486 
111.6 2.93867 
115.2 2.8544 
118.8 2.76343 
122.4 2.66734 
126 2.56792 
129.6 2.4672 
133.2 2.36744 
136.8 2.27117 
140.4 2.18116 
144 2.10036 
147.6 1.92842 
151.2 1.71801 
154.8 1.50465 
158.4 1.2892 
162 1.07254 
165.6 0.855507 
169.2 0.638936 
172.8 0.42364 
176.4 0.210407 
180 4.38026e-07 
