#Format:deltacp   chi^2 
-180 1.4978e-06 
-176.4 0.167561 
-172.8 0.332624 
-169.2 0.496021 
-165.6 0.658598 
-162 0.821199 
-158.4 0.984645 
-154.8 1.14972 
-151.2 1.31716 
-147.6 1.48762 
-144 1.66169 
-140.4 1.83987 
-136.8 2.02256 
-133.2 2.21007 
-129.6 2.40261 
-126 2.60029 
-122.4 2.80313 
-118.8 3.01104 
-115.2 3.22386 
-111.6 3.44137 
-108 3.66322 
-104.4 3.88905 
-100.8 4.11841 
-97.2 4.35081 
-93.6 4.58571 
-90 4.82254 
-86.4 5.06067 
-82.8 5.29948 
-79.2 5.53827 
-75.6 5.53419 
-72 5.2568 
-68.4 4.9767 
-64.8 4.69455 
-61.2 4.41106 
-57.6 4.12689 
-54 3.84271 
-50.4 3.55919 
-46.8 3.277 
-43.2 2.9968 
-39.6 2.71923 
-36 2.44493 
-32.4 2.17452 
-28.8 1.90859 
-25.2 1.6477 
-21.6 1.39238 
-18 1.14312 
-14.4 0.900328 
-10.8 0.66438 
-7.2 0.435559 
-3.6 0.214065 
-1.64313e-13 1.32113e-06 
3.6 0.206644 
7.2 0.405996 
10.8 0.598316 
14.4 0.784002 
18 0.963594 
21.6 1.13778 
25.2 1.30738 
28.8 1.47335 
32.4 1.63675 
36 1.79875 
39.6 1.96056 
43.2 2.12343 
46.8 2.28859 
50.4 2.45722 
54 2.63041 
57.6 2.80911 
61.2 2.99412 
64.8 3.18606 
68.4 3.38535 
72 3.5922 
75.6 3.80662 
79.2 4.0284 
82.8 4.25719 
86.4 4.49244 
90 4.73347 
93.6 4.97943 
97.2 5.22941 
100.8 5.11257 
104.4 4.83145 
108 4.55088 
111.6 4.27187 
115.2 3.99531 
118.8 3.72207 
122.4 3.45292 
126 3.18859 
129.6 2.9297 
133.2 2.67679 
136.8 2.4303 
140.4 2.19057 
144 1.95789 
147.6 1.73238 
151.2 1.51409 
154.8 1.30297 
158.4 1.09886 
162 0.901497 
165.6 0.710514 
169.2 0.525457 
172.8 0.345783 
176.4 0.170862 
180 1.24587e-06 
