#Format:deltacp   chi^2 
-180 1.25162e-06 
-176.4 0.377033 
-172.8 0.748725 
-169.2 1.11426 
-165.6 1.47284 
-162 1.82373 
-158.4 2.16624 
-154.8 2.49971 
-151.2 2.82356 
-147.6 3.13723 
-144 3.44025 
-140.4 3.73221 
-136.8 4.01276 
-133.2 4.28162 
-129.6 4.53859 
-126 4.78355 
-122.4 5.01644 
-118.8 5.2373 
-115.2 5.44624 
-111.6 5.64346 
-108 5.82923 
-104.4 6.00392 
-100.8 6.16797 
-97.2 6.32189 
-93.6 6.46629 
-90 6.60183 
-86.4 6.72923 
-82.8 6.84928 
-79.2 6.96281 
-75.6 7.07069 
-72 7.1738 
-68.4 7.13123 
-64.8 6.82534 
-61.2 6.5069 
-57.6 6.17659 
-54 5.83515 
-50.4 5.48335 
-46.8 5.12202 
-43.2 4.75206 
-39.6 4.37438 
-36 3.98995 
-32.4 3.59974 
-28.8 3.20478 
-25.2 2.80611 
-21.6 2.40478 
-18 2.00185 
-14.4 1.59838 
-10.8 1.19543 
-7.2 0.794042 
-3.6 0.395232 
-1.64313e-13 8.86215e-07 
3.6 0.390693 
7.2 0.775927 
10.8 1.15483 
14.4 1.52658 
18 1.89042 
21.6 2.24565 
25.2 2.59164 
28.8 2.92784 
32.4 3.25376 
36 3.569 
39.6 3.87323 
43.2 4.1662 
46.8 4.44774 
50.4 4.71775 
54 4.97622 
57.6 5.2232 
61.2 5.45882 
64.8 5.68327 
68.4 5.89681 
72 6.09977 
75.6 6.29253 
79.2 6.4755 
82.8 6.64918 
86.4 6.81407 
90 6.97073 
93.6 7.11974 
97.2 7.26171 
100.8 7.39725 
104.4 7.52698 
108 7.24903 
111.6 6.95733 
115.2 6.65323 
118.8 6.33743 
122.4 6.01065 
126 5.67369 
129.6 5.32733 
133.2 4.97243 
136.8 4.60986 
140.4 4.24052 
144 3.86531 
147.6 3.48517 
151.2 3.10106 
154.8 2.71392 
158.4 2.32474 
162 1.93445 
165.6 1.54404 
169.2 1.15446 
172.8 0.76664 
176.4 0.381519 
180 1.14088e-06 
