#Format:deltacp   chi^2 
-180 1.15221e-06 
-176.4 0.370344 
-172.8 0.735095 
-169.2 1.09323 
-165.6 1.44375 
-162 1.78571 
-158.4 2.11822 
-154.8 2.44041 
-151.2 2.7515 
-147.6 3.05075 
-144 3.33747 
-140.4 3.61108 
-136.8 3.87102 
-133.2 4.11685 
-129.6 4.34817 
-126 4.56469 
-122.4 4.7662 
-118.8 4.95257 
-115.2 5.12377 
-111.6 5.27988 
-108 5.42105 
-104.4 5.54755 
-100.8 5.65977 
-97.2 5.75819 
-93.6 5.84339 
-90 5.91608 
-86.4 5.97708 
-82.8 6.02731 
-79.2 6.0678 
-75.6 6.0997 
-72 6.12425 
-68.4 6.14278 
-64.8 6.15668 
-61.2 6.04902 
-57.6 5.7633 
-54 5.46418 
-50.4 5.15242 
-46.8 4.82885 
-43.2 4.49432 
-39.6 4.14976 
-36 3.79613 
-32.4 3.43445 
-28.8 3.06576 
-25.2 2.69117 
-21.6 2.31177 
-18 1.92872 
-14.4 1.54319 
-10.8 1.15636 
-7.2 0.769414 
-3.6 0.383563 
-1.64313e-13 9.33959e-07 
3.6 0.380085 
7.2 0.755517 
10.8 1.12514 
14.4 1.48783 
18 1.8425 
21.6 2.18809 
25.2 2.5236 
28.8 2.84811 
32.4 3.16072 
36 3.46063 
39.6 3.74711 
43.2 4.01952 
46.8 4.27729 
50.4 4.51996 
54 4.74718 
57.6 4.95868 
61.2 5.15433 
64.8 5.33407 
68.4 5.498 
72 5.6463 
75.6 5.77929 
79.2 5.89739 
82.8 6.00117 
86.4 6.09129 
90 6.16853 
93.6 6.23379 
97.2 6.28806 
100.8 6.33247 
104.4 6.36819 
108 6.39652 
111.6 6.4188 
115.2 6.34996 
118.8 6.06915 
122.4 5.77447 
126 5.46679 
129.6 5.14704 
133.2 4.81618 
136.8 4.47524 
140.4 4.12525 
144 3.76731 
147.6 3.40251 
151.2 3.032 
154.8 2.6569 
158.4 2.27837 
162 1.89758 
165.6 1.51569 
169.2 1.13384 
172.8 0.753193 
176.4 0.374875 
180 1.33984e-06 
