#Format:deltacp   chi^2 
-180 1.34669e-06 
-176.4 0.13459 
-172.8 0.263719 
-169.2 0.388045 
-165.6 0.508297 
-162 0.625268 
-158.4 0.739795 
-154.8 0.852742 
-151.2 0.964988 
-147.6 1.0774 
-144 1.19081 
-140.4 1.30603 
-136.8 1.42377 
-133.2 1.54468 
-129.6 1.66932 
-126 1.79815 
-122.4 1.93153 
-118.8 2.0697 
-115.2 2.21281 
-111.6 2.36092 
-108 2.514 
-104.4 2.67191 
-100.8 2.83445 
-97.2 3.00136 
-93.6 3.1723 
-90 3.34691 
-86.4 3.52475 
-82.8 3.70537 
-79.2 3.88825 
-75.6 4.07287 
-72 4.25869 
-68.4 4.35666 
-64.8 4.12109 
-61.2 3.88274 
-57.6 3.64224 
-54 3.40018 
-50.4 3.1572 
-46.8 2.91389 
-43.2 2.6709 
-39.6 2.42884 
-36 2.18835 
-32.4 1.95003 
-28.8 1.7145 
-25.2 1.48239 
-21.6 1.25427 
-18 1.03072 
-14.4 0.812312 
-10.8 0.599561 
-7.2 0.392966 
-3.6 0.192977 
-1.64313e-13 1.09431e-06 
3.6 0.185622 
7.2 0.36361 
10.8 0.533766 
14.4 0.695978 
18 0.850236 
21.6 0.99664 
25.2 1.13541 
28.8 1.2669 
32.4 1.3916 
36 1.51015 
39.6 1.62333 
43.2 1.73208 
46.8 1.83745 
50.4 1.94064 
54 2.04291 
57.6 2.14563 
61.2 2.25014 
64.8 2.35781 
68.4 2.4699 
72 2.58757 
75.6 2.71181 
79.2 2.84343 
82.8 2.98296 
86.4 3.13074 
90 3.28684 
93.6 3.45111 
97.2 3.62317 
100.8 3.80243 
104.4 3.98817 
108 4.0423 
111.6 3.80057 
115.2 3.55877 
118.8 3.31785 
122.4 3.07874 
126 2.84231 
129.6 2.60939 
133.2 2.38073 
136.8 2.15703 
140.4 1.93892 
144 1.72694 
147.6 1.52154 
151.2 1.3231 
154.8 1.1319 
158.4 0.948127 
162 0.771881 
165.6 0.603162 
169.2 0.441863 
172.8 0.287785 
176.4 0.140629 
180 1.09502e-06 
