#Format:deltacp   chi^2 
-180 4.61542e-07 
-176.4 0.211851 
-172.8 0.42023 
-169.2 0.624522 
-165.6 0.824148 
-162 1.01856 
-158.4 1.20727 
-154.8 1.3898 
-151.2 1.56573 
-147.6 1.73467 
-144 1.89631 
-140.4 2.05033 
-136.8 2.19648 
-133.2 2.33456 
-129.6 2.4644 
-126 2.58586 
-122.4 2.69888 
-118.8 2.80339 
-115.2 2.8994 
-111.6 2.98695 
-108 3.06612 
-104.4 3.13702 
-100.8 3.1998 
-97.2 3.25469 
-93.6 3.30191 
-90 3.34176 
-86.4 3.37456 
-82.8 3.40071 
-79.2 3.42061 
-75.6 3.43474 
-72 3.44362 
-68.4 3.41606 
-64.8 3.29417 
-61.2 3.16392 
-57.6 3.02551 
-54 2.87922 
-50.4 2.72533 
-46.8 2.56416 
-43.2 2.39605 
-39.6 2.22137 
-36 2.04053 
-32.4 1.85395 
-28.8 1.66208 
-25.2 1.46541 
-21.6 1.26445 
-18 1.05972 
-14.4 0.851781 
-10.8 0.641226 
-7.2 0.428654 
-3.6 0.214696 
-1.64313e-13 4.34206e-07 
3.6 0.214765 
7.2 0.428912 
10.8 0.641742 
14.4 0.85254 
18 1.06058 
21.6 1.26515 
25.2 1.4655 
28.8 1.66091 
32.4 1.85067 
36 2.03407 
39.6 2.21043 
43.2 2.37909 
46.8 2.53944 
50.4 2.69089 
54 2.83291 
57.6 2.96503 
61.2 3.08685 
64.8 3.19801 
68.4 3.29827 
72 3.38744 
75.6 3.46543 
79.2 3.53223 
82.8 3.58795 
86.4 3.63276 
90 3.66695 
93.6 3.69091 
97.2 3.70512 
100.8 3.71017 
104.4 3.70672 
108 3.69555 
111.6 3.67752 
115.2 3.58742 
118.8 3.43679 
122.4 3.27682 
126 3.1081 
129.6 2.93121 
133.2 2.74682 
136.8 2.5556 
140.4 2.35826 
144 2.15553 
147.6 1.94817 
151.2 1.73694 
154.8 1.52261 
158.4 1.30595 
162 1.08775 
165.6 0.868776 
169.2 0.649778 
172.8 0.431503 
176.4 0.214677 
180 4.53491e-07 
