#Format:deltacp   chi^2 
-180 4.85026e-07 
-176.4 0.222347 
-172.8 0.441771 
-169.2 0.657687 
-165.6 0.869543 
-162 1.07682 
-158.4 1.27903 
-154.8 1.47574 
-151.2 1.66653 
-147.6 1.85106 
-144 2.02899 
-140.4 2.20005 
-136.8 2.364 
-133.2 2.52065 
-129.6 2.66986 
-126 2.81151 
-122.4 2.94554 
-118.8 3.07193 
-115.2 3.19069 
-111.6 3.30188 
-108 3.4056 
-104.4 3.50198 
-100.8 3.59121 
-97.2 3.67348 
-93.6 3.74906 
-90 3.81824 
-86.4 3.88132 
-82.8 3.93867 
-79.2 3.99067 
-75.6 3.92566 
-72 3.80062 
-68.4 3.66751 
-64.8 3.52651 
-61.2 3.3778 
-57.6 3.22162 
-54 3.05823 
-50.4 2.88793 
-46.8 2.71101 
-43.2 2.52784 
-39.6 2.33877 
-36 2.14422 
-32.4 1.94458 
-28.8 1.74032 
-25.2 1.5319 
-21.6 1.31981 
-18 1.10456 
-14.4 0.886678 
-10.8 0.666715 
-7.2 0.44523 
-3.6 0.222797 
-1.64313e-13 4.2674e-07 
3.6 0.222569 
7.2 0.444313 
10.8 0.664635 
14.4 0.882939 
18 1.09863 
21.6 1.31114 
25.2 1.51987 
28.8 1.72429 
32.4 1.92384 
36 2.118 
39.6 2.30628 
43.2 2.48819 
46.8 2.66328 
50.4 2.83114 
54 2.99136 
57.6 3.1436 
61.2 3.28754 
64.8 3.42289 
68.4 3.54943 
72 3.66698 
75.6 3.77541 
79.2 3.87467 
82.8 3.96475 
86.4 4.04573 
90 4.11777 
93.6 4.18107 
97.2 4.23594 
100.8 4.28275 
104.4 4.1906 
108 4.05383 
111.6 3.90782 
115.2 3.75286 
118.8 3.58928 
122.4 3.41747 
126 3.23787 
129.6 3.05093 
133.2 2.85717 
136.8 2.65715 
140.4 2.45143 
144 2.24063 
147.6 2.02539 
151.2 1.80637 
154.8 1.58423 
158.4 1.35966 
162 1.13336 
165.6 0.906019 
169.2 0.678333 
172.8 0.450988 
176.4 0.224657 
180 3.81679e-07 
