#Format:deltacp   chi^2 
-180 1.31528e-06 
-176.4 0.185944 
-172.8 0.370016 
-169.2 0.552979 
-165.6 0.7356 
-162 0.918628 
-158.4 1.10279 
-154.8 1.28877 
-151.2 1.47721 
-147.6 1.66867 
-144 1.86367 
-140.4 2.06263 
-136.8 2.2659 
-133.2 2.47374 
-129.6 2.68631 
-126 2.90371 
-122.4 3.12593 
-118.8 3.35292 
-115.2 3.58447 
-111.6 3.82037 
-108 4.06032 
-104.4 4.30394 
-100.8 4.55081 
-97.2 4.80044 
-93.6 5.05231 
-90 5.30586 
-86.4 5.56045 
-82.8 5.81546 
-79.2 6.07022 
-75.6 5.91365 
-72 5.61483 
-68.4 5.3132 
-64.8 5.00949 
-61.2 4.70444 
-57.6 4.39879 
-54 4.09332 
-50.4 3.78875 
-46.8 3.48584 
-43.2 3.18531 
-39.6 2.8879 
-36 2.59431 
-32.4 2.30523 
-28.8 2.02134 
-25.2 1.74325 
-21.6 1.47156 
-18 1.20679 
-14.4 0.94941 
-10.8 0.6998 
-7.2 0.458256 
-3.6 0.224967 
-1.64313e-13 1.35215e-06 
3.6 0.216714 
7.2 0.42539 
10.8 0.626406 
14.4 0.820306 
18 1.00781 
21.6 1.18981 
25.2 1.36736 
28.8 1.54167 
32.4 1.71405 
36 1.88594 
39.6 2.05878 
43.2 2.23404 
46.8 2.41313 
50.4 2.59736 
54 2.78789 
57.6 2.98568 
61.2 3.19148 
64.8 3.4058 
68.4 3.6289 
72 3.8608 
75.6 4.1013 
79.2 4.34996 
82.8 4.60617 
86.4 4.86914 
90 5.13796 
93.6 5.41156 
97.2 5.68881 
100.8 5.42914 
104.4 5.13083 
108 4.83379 
111.6 4.53902 
115.2 4.24739 
118.8 3.95973 
122.4 3.67674 
126 3.39907 
129.6 3.12724 
133.2 2.86171 
136.8 2.60281 
140.4 2.35076 
144 2.10569 
147.6 1.86765 
151.2 1.63657 
154.8 1.41226 
158.4 1.19449 
162 0.982886 
165.6 0.777034 
169.2 0.576424 
172.8 0.38048 
176.4 0.188567 
180 1.20449e-06 
